-,-,
-399, 89, 889
-435, 146, 984
-348, 28, 930
-384, 30, 858
-384, 30, 858
-442, 124, 898
-417, 194, 967
-442, 188, 957
-413, 136, 940
-360, 90, 905
-360, 90, 905
-389, 92, 899
-400, 111, 940
-400, 92, 928
-425, 73, 931
-414, 101, 953
-414, 101, 941
-404, 150, 941
-409, 160, 898
-397, 132, 894
-392, 102, 930
-376, 100, 950
-374, 98, 938
-403, 101, 897
-403, 101, 897
-434, 114, 932
-407, 113, 926
-387, 95, 933
-386, 87, 961
-403, 100, 921
-413, 116, 886
-413, 116, 886
-403, 138, 909
-374, 120, 902
-362, 104, 920
-380, 109, 972
-385, 123, 971
-401, 96, 953
-401, 96, 953
-373, 70, 871
-377, 96, 938
-408, 97, 968
-420, 110, 946
-394, 125, 907
-371, 106, 937
-371, 106, 937
-380, 89, 943
-372, 101, 900
-366, 101, 911
-352, 87, 948
-363, 89, 958
-363, 89, 958
-399, 86, 950
-408, 87, 938
-398, 84, 909
-393, 82, 915
-381, 97, 934
-381, 97, 934
-400, 101, 963
-407, 116, 947
-385, 105, 906
-365, 88, 908
-363, 95, 923
-363, 95, 923
-363, 103, 917
-376, 99, 931
-381, 86, 964
-388, 78, 970
-398, 76, 948
-398, 76, 948
-398, 79, 924
-394, 108, 898
-395, 118, 908
-374, 117, 940
-359, 94, 953
-359, 94, 953
-351, 100, 966
-357, 97, 914
-382, 83, 917
-386, 79, 942
-386, 70, 935
-386, 70, 935
-389, 83, 942
-402, 84, 953
-386, 97, 936
-380, 92, 918
-385, 104, 915
-385, 104, 915
-373, 98, 915
-348, 89, 928
-357, 98, 960
-373, 98, 964
-374, 84, 963
-374, 84, 963
-391, 65, 925
-398, 69, 914
-388, 74, 918
-391, 80, 951
-391, 80, 951
-386, 95, 961
-386, 93, 939
-388, 97, 921
-364, 109, 917
-365, 84, 912
-365, 84, 912
-364, 87, 942
-366, 90, 973
-373, 81, 950
-375, 72, 938
-390, 76, 935
-390, 76, 935
-387, 76, 915
-388, 76, 927
-394, 98, 953
-390, 101, 959
-375, 94, 939
-375, 94, 939
-359, 90, 915
-357, 83, 910
-362, 85, 912
-375, 87, 957
-375, 87, 957
-374, 84, 957
-379, 72, 946
-386, 76, 930
-385, 85, 932
-399, 91, 964
-399, 91, 964
-393, 83, 950
-384, 76, 922
-364, 91, 907
-344, 92, 898
-344, 92, 898
-378, 86, 942
-388, 105, 969
-380, 106, 960
-365, 63, 920
-371, 37, 941
-371, 37, 941
-378, 72, 913
-413, 97, 921
-400, 80, 936
-386, 74, 949
-400, 95, 965
-400, 95, 965
-391, 114, 935
-378, 107, 904
-367, 89, 902
-390, 88, 948
-395, 90, 968
-395, 90, 968
-385, 92, 946
-387, 72, 928
-387, 87, 946
-389, 90, 949
-389, 90, 949
-386, 80, 911
-409, 95, 929
-403, 111, 944
-382, 104, 979
-367, 75, 925
-350, 81, 904
-350, 81, 904
-359, 78, 949
-372, 73, 913
-389, 74, 894
-380, 81, 941
-380, 81, 941
-387, 78, 957
-393, 71, 935
-393, 83, 942
-392, 100, 943
-382, 98, 954
-382, 98, 954
-360, 86, 914
-374, 90, 912
-382, 101, 945
-372, 81, 954
-360, 75, 933
-360, 75, 933
-371, 71, 941
-389, 75, 938
-388, 78, 929
-389, 68, 940
-389, 68, 940
-381, 73, 945
-386, 98, 942
-381, 105, 936
-376, 98, 930
-359, 83, 924
-359, 83, 924
-356, 84, 949
-357, 79, 947
-363, 73, 928
-391, 86, 946
-393, 85, 963
-393, 85, 963
-388, 67, 946
-374, 61, 921
-380, 86, 950
-379, 97, 948
-379, 97, 948
-371, 98, 937
-364, 88, 904
-363, 83, 906
-370, 84, 936
-368, 85, 968
-368, 85, 968
-371, 73, 967
-376, 71, 942
-384, 70, 937
-397, 81, 940
-397, 81, 940
-390, 74, 936
-374, 77, 955
-371, 89, 936
-379, 99, 937
-368, 100, 942
-368, 100, 942
-353, 84, 924
-359, 73, 927
-365, 72, 949
-371, 71, 963
-380, 69, 957
-380, 69, 957
-388, 69, 941
-409, 80, 989
-406, 105, 1012
-403, 95, 930
-407, 98, 891
-407, 98, 891
-386, 102, 908
-362, 92, 920
-314, 74, 917
-310, 70, 927
-335, 64, 945
-335, 64, 945
-330, 85, 959
-327, 74, 943
-376, 74, 950
-392, 93, 931
-392, 93, 931
-393, 68, 927
-380, 73, 931
-398, 99, 926
-407, 112, 944
-380, 106, 962
-380, 106, 962
-387, 96, 962
-376, 81, 951
-348, 82, 927
-365, 99, 917
-376, 100, 967
-376, 100, 967
-373, 72, 978
-411, 88, 974
-403, 135, 991
-374, 97, 1002
-375, 68, 949
-352, 116, 884
-352, 116, 884
-314, 114, 860
-300, 96, 837
-365, 118, 885
-381, 106, 935
-387, 96, 1001
-387, 106, 997
-387, 106, 997
-394, 88, 938
-362, 70, 914
-362, 107, 904
-378, 140, 871
-300, 96, 812
-313, 130, 983
-313, 130, 983
-415, 262, 959
-361, 269, 864
-298, 236, 858
-287, 215, 889
-376, 220, 968
-478, 231, 967
-396, 186, 930
-396, 186, 930
-403, 220, 1039
-443, 245, 985
-470, 249, 875
-492, 245, 722
-482, 254, 735
-448, 303, 901
-313, 264, 973
-313, 264, 973
-337, 292, 893
-369, 332, 922
-325, 297, 991
-326, 266, 956
-392, 268, 829
-389, 267, 764
-434, 244, 830
-434, 244, 830
-436, 293, 928
-483, 303, 932
-452, 323, 835
-471, 310, 854
-496, 315, 837
-445, 314, 872
-423, 300, 925
-423, 300, 925
-435, 299, 936
-412, 305, 883
-388, 292, 854
-395, 291, 826
-448, 317, 815
-431, 311, 873
-425, 297, 884
-425, 297, 884
-458, 311, 871
-491, 346, 861
-412, 346, 865
-412, 295, 834
-433, 282, 823
-413, 284, 878
-405, 295, 863
-405, 295, 863
-429, 272, 863
-452, 235, 882
-456, 265, 909
-457, 306, 885
-456, 278, 809
-447, 278, 806
-485, 295, 847
-485, 295, 847
-493, 303, 920
-448, 303, 912
-401, 283, 827
-392, 260, 852
-402, 269, 904
-420, 262, 821
-432, 266, 875
-432, 266, 875
-451, 298, 864
-409, 285, 850
-443, 251, 855
-458, 269, 839
-406, 292, 864
-412, 286, 892
-411, 279, 883
-411, 279, 883
-418, 277, 910
-428, 259, 870
-421, 254, 864
-414, 247, 882
-419, 264, 914
-428, 256, 876
-428, 256, 876
-427, 253, 871
-447, 270, 899
-437, 274, 898
-429, 264, 898
-400, 279, 836
-411, 276, 893
-401, 254, 881
-401, 254, 881
-405, 247, 883
-422, 261, 897
-409, 274, 873
-420, 250, 884
-419, 254, 883
-434, 255, 902
-443, 249, 889
-443, 249, 889
-436, 256, 854
-416, 262, 841
-401, 267, 855
-414, 262, 882
-412, 267, 899
-414, 247, 919
-421, 239, 886
-421, 239, 886
-422, 249, 887
-436, 248, 895
-426, 259, 861
-430, 266, 892
-430, 260, 877
-419, 245, 875
-406, 248, 880
-406, 248, 880
-395, 257, 855
-414, 255, 900
-419, 253, 902
-430, 263, 891
-414, 270, 877
-428, 237, 875
-415, 246, 871
-415, 246, 871
-407, 263, 889
-417, 264, 924
-417, 260, 881
-427, 249, 857
-430, 244, 847
-412, 262, 892
-407, 267, 923
-407, 267, 923
-406, 257, 901
-413, 256, 893
-434, 247, 867
